f7-1;0.03;66;68;1
f7-2;0.04;74;74;1
f7-3;0.02;160;60;4
f7-4;0.04;261;183;11
f7-5;0.03;163;226;51
f7-6;0.04;200;124;8
f7-7;0.04;222;142;8
f7-8;0.03;260;81;9
f7-9;0.04;266;125;10
f7-10;0.04;326;132;13
f7-11;0.04;328;130;13
f7-12;0.03;390;189;16
f7-13;0.02;383;177;16
f7-14;0.03;467;188;19
f7-15;0.03;473;76;17
f7-16;0.02;468;71;17
f7-17;0.03;456;139;18
f7-18;0.03;568;79;20
f7-19;0.03;568;60;20
f7-20;0.04;577;140;21
f7-21;0.02;561;127;21
f7-22;0.02;624;68;23
f7-23;0.03;621;72;23
f7-24;0.04;632;186;25
f7-25;0.04;641;191;25
f7-26;0.04;641;124;24
f7-27;0.04;683;63;26
f7-28;0.02;683;72;26
f7-29;0.02;685;193;28
f7-30;0.03;683;189;28
f7-31;0.02;633;228;73
f7-32;0.03;838;80;29
f7-33;0.02;832;66;29
f7-34;0.02;827;142;30
f7-35;0.02;842;197;31
f7-36;0.04;892;174;33
f7-37;0.03;947;127;35
f7-38;0.03;949;134;35
f7-39;0.02;992;74;37
f7-40;0.04;1006;75;37
f7-41;0.04;1010;197;39
f7-42;0.04;945;234;88
f7-43;0.04;939;228;88
f7-44;0.04;1060;79;40
f7-45;0.03;1100;189;44
f7-46;0.02;1113;177;44
f7-47;0.03;1114;76;42
f7-48;0.02;1112;77;42
f7-49;0.04;1096;139;43
f7-50;0.02;1113;124;43
f7-51;0.04;1185;70;45
f7-52;0.04;1201;127;46
f7-53;0.02;1099;247;96
f7-54;0.02;60;306;49
f7-55;0.02;146;356;53
f7-56;0.03;163;360;53
f7-57;0.02;81;424;102
f7-58;0.03;147;429;105
f7-59;0.03;145;412;105
f7-60;0.04;203;242;54
f7-61;0.02;204;298;55
f7-62;0.02;218;311;55
f7-63;0.04;270;234;56
f7-64;0.04;272;242;56
f7-65;0.02;266;301;57
f7-66;0.02;314;358;61
f7-67;0.04;329;291;60
f7-68;0.04;317;310;60
f7-69;0.02;382;230;62
f7-70;0.03;374;240;62
f7-71;0.04;389;360;64
f7-72;0.02;310;418;113
f7-73;0.02;371;293;63
f7-74;0.02;379;289;63
f7-75;0.04;468;241;65
f7-76;0.02;458;312;66
f7-77;0.02;467;354;67
f7-78;0.02;381;425;116
f7-79;0.04;371;424;116
f7-80;0.02;512;244;68
f7-81;0.02;515;231;68
f7-82;0.04;574;235;70
f7-83;0.02;565;246;70
f7-84;0.04;582;291;71
f7-85;0.02;574;292;71
f7-86;0.04;626;356;75
f7-87;0.04;569;416;121
f7-88;0.04;621;291;74
f7-89;0.02;633;298;74
f7-90;0.04;685;368;78
f7-91;0.03;699;306;77
f7-92;0.03;779;247;79
f7-93;0.04;767;236;79
f7-94;0.03;780;293;80
f7-95;0.04;778;301;80
f7-96;0.03;694;410;127
f7-97;0.04;687;409;127
f7-98;0.03;832;358;84
f7-99;0.03;844;359;84
f7-100;0.03;833;241;82
f7-101;0.02;894;235;85
f7-102;0.04;897;236;85
f7-103;0.04;884;368;87
f7-104;0.04;951;372;90
f7-105;0.03;940;354;90
f7-106;0.03;894;415;134
f7-107;0.03;941;305;89
f7-108;0.02;949;294;89
f7-109;0.02;990;308;92
f7-110;0.04;991;290;92
f7-111;0.03;1058;245;94
f7-112;0.02;1040;240;94
f7-113;0.02;1049;297;95
f7-114;0.04;1098;353;98
f7-115;0.03;1008;422;139
f7-116;0.03;1202;228;99
f7-117;0.02;1096;432;144
f7-118;0.04;1182;417;147
f7-119;0.02;1181;418;147
f7-120;0.02;62;476;103
f7-121;0.02;69;545;104
f7-122;0.03;66;541;104
f7-123;0.02;82;582;150
f7-124;0.03;267;528;112
f7-125;0.02;257;536;112
f7-126;0.04;162;588;152
f7-127;0.04;211;417;108
f7-128;0.04;217;416;108
f7-129;0.03;263;495;111
f7-130;0.03;316;487;114
f7-131;0.03;321;528;115
f7-132;0.02;268;590;156
f7-133;0.03;256;579;156
f7-134;0.04;318;580;158
f7-135;0.03;458;540;120
f7-136;0.04;578;486;122
f7-137;0.04;580;526;123
f7-138;0.03;568;538;123
f7-139;0.04;619;537;126
f7-140;0.02;622;532;126
f7-141;0.02;578;587;166
f7-142;0.04;680;525;129
f7-143;0.03;695;544;129
f7-144;0.02;621;590;168
f7-145;0.02;826;494;132
f7-146;0.03;779;545;130
f7-147;0.04;829;541;133
f7-148;0.04;831;539;133
f7-149;0.02;891;537;135
f7-150;0.04;881;537;135
f7-151;0.03;845;592;174
f7-152;0.02;838;579;174
f7-153;0.02;932;481;137
f7-154;0.03;932;481;137
f7-155;0.02;1007;495;140
f7-156;0.04;1011;497;140
f7-157;0.03;930;587;178
f7-158;0.04;935;583;178
f7-159;0.02;1050;410;142
f7-160;0.02;1053;410;142
f7-161;0.03;1102;530;146
f7-162;0.02;990;597;180
f7-163;0.03;1109;494;145
f7-164;0.04;1111;495;145
f7-165;0.04;1182;495;148
f7-166;0.03;1116;593;184
f7-167;0.02;1181;574;186
f7-168;0.02;1199;579;186
f7-169;0.03;67;658;151
f7-170;0.02;161;651;153
f7-171;0.02;206;648;155
f7-172;0.04;208;660;155
f7-173;0.02;253;649;157
f7-174;0.04;266;639;157
f7-175;0.02;317;653;159
f7-176;0.04;380;575;160
f7-177;0.02;389;595;160
f7-178;0.03;373;662;161
f7-179;0.03;511;646;165
f7-180;0.04;573;640;167
f7-181;0.02;568;657;167
f7-182;0.02;689;585;170
f7-183;0.04;684;648;171
f7-184;0.02;882;589;176
f7-185;0.02;887;657;177
f7-186;0.03;1010;649;181
f7-187;0.03;1053;591;182
f7-188;0.03;1043;592;182
f7-189;0.03;260;584;156
f7-190;0.03;250;196;11
f7-191;0.04;77;641;151
f7-192;0.02;944;75;34
f7-193;0.02;515;576;164
f7-194;0.02;1009;294;92
f7-195;0.02;318;489;114
f7-196;0.04;939;534;138
f7-197;0.03;573;357;72
f7-198;0.02;680;658;171
f7-199;0.02;1006;192;39
f7-200;0.04;79;593;150
f7-201;0.04;938;190;36
f7-202;0.03;310;295;60
f7-203;0.03;569;577;166
f7-204;0.02;1097;298;97
f7-205;0.04;391;540;117
f7-206;0.04;459;591;162
f7-207;0.02;933;430;136
f7-208;0.03;572;654;167
f7-209;0.02;522;311;69
f7-210;0.03;1097;186;44
f7-211;0.03;166;529;107
f7-212;0.03;314;135;13
f7-213;0.03;311;532;115
f7-214;0.03;74;658;151
f7-215;0.03;264;368;58
f7-216;0.02;1106;483;145
f7-217;0.02;944;174;36
f7-218;0.04;633;546;126
f7-219;0.03;1043;243;94
f7-220;0.04;61;176;3
f7-221;0.02;66;418;102
f7-222;0.02;1044;417;142
f7-223;0.04;1101;227;96
f7-224;0.02;146;482;106
f7-225;0.04;887;243;85
f7-226;0.02;694;481;128
f7-227;0.02;1184;547;149
f7-228;0.03;835;188;31
f7-229;0.02;634;307;74
f7-230;0.03;1188;486;148
f7-231;0.02;456;477;119
f7-232;0.03;949;366;90
f7-233;0.03;679;245;76
f7-234;0.04;638;546;126
f7-235;0.02;1055;594;182
f7-236;0.04;774;526;130
f7-237;0.02;1105;237;96
f7-238;0.04;572;539;123
f7-239;0.04;64;197;3
f7-240;0.04;884;230;85
f7-241;0.02;839;352;84
f7-242;0.02;622;416;124
f7-243;0.03;162;428;105
f7-244;0.02;573;232;70
f7-245;0.02;219;63;7
f7-246;0.04;582;476;122
f7-247;0.04;78;585;150
f7-248;0.03;697;137;27
f7-249;0.03;1105;359;98
f7-250;0.03;626;541;126
